Date,High Temperature,Low Temperature
3/17/2014,88,57
3/18/2014,79,55
3/19/2014,81,53
3/20/2014,79,54
3/21/2014,74,54
3/22/2014,70,55
3/23/2014,74,51
3/24/2014,73,56
3/25/2014,71,57
3/26/2014,65,53
3/27/2014,69,49
3/28/2014,71,51
3/29/2014,79,53
3/30/2014,73,56
3/31/2014,71,50
4/1/2014,65,49
4/2/2014,63,47
4/3/2014,71,46
4/4/2014,69,49
4/5/2014,69,48
4/6/2014,83,50
4/7/2014,90,57
4/8/2014,94,61
4/9/2014,93,62
4/10/2014,92,58
4/11/2014,84,59
4/12/2014,84,55
4/13/2014,70,55
4/14/2014,87,52
4/15/2014,84,57
4/16/2014,82,54
4/17/2014,76,56
4/18/2014,74,57
4/19/2014,78,55
4/20/2014,83,56
4/21/2014,84,57
4/22/2014,84,58
4/23/2014,75,52
4/24/2014,82,55
4/25/2014,81,56
4/26/2014,68,49
4/27/2014,72,51
4/28/2014,82,53
4/29/2014,95,63
4/30/2014,93,64
5/1/2014,93,65
5/2/2014,98,65
5/3/2014,94,65
5/4/2014,91,61
5/5/2014,87,55
5/6/2014,74,53
5/7/2014,71,53
5/8/2014,73,55
5/9/2014,76,55
5/10/2014,76,57
5/11/2014,85,55
5/12/2014,92,63
5/13/2014,96,65
5/14/2014,102,66
5/15/2014,104,72
5/16/2014,99,70
5/17/2014,97,66
5/18/2014,87,62
5/19/2014,79,61
5/20/2014,77,58
5/21/2014,74,55
5/22/2014,75,57
5/23/2014,74,61
5/24/2014,73,59
5/25/2014,84,62
5/26/2014,84,62
5/27/2014,89,63
5/28/2014,87,63
5/29/2014,85,62
5/30/2014,87,60
5/31/2014,88,59
